lifecycle_time,day_type,strike_confidence,distance_bucket,n,markets_in_bucket,share,n_weekday,n_weekend
T-5m,weekday,HIGH,1-2bps,6,0,0.0,,
T-5m,weekday,HIGH,2-5bps,6,1,0.16666666666666666,,
T-5m,weekday,HIGH,5-10bps,6,1,0.16666666666666666,,
T-5m,weekday,HIGH,>10bps,6,3,0.5,,
T-5m,weekday,HIGH,P(<1bps),6,1,0.16666666666666666,,
T-5m,weekday,HIGH,P(<2bps),6,1,0.16666666666666666,,
T-5m,weekday,HIGH,P(<5bps),6,2,0.3333333333333333,,
T-5m,weekend,HIGH,<1bps,0,0,,,
T-5m,weekend,HIGH,1-2bps,0,0,,,
T-5m,weekend,HIGH,2-5bps,0,0,,,
T-5m,weekend,HIGH,5-10bps,0,0,,,
T-5m,weekend,HIGH,>10bps,0,0,,,
T-5m,weekend,HIGH,P(<1bps),0,0,,,
T-5m,weekend,HIGH,P(<2bps),0,0,,,
T-5m,weekend,HIGH,P(<5bps),0,0,,,
T-5m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T-5m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T-5m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T-5m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T-5m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T-5m,weekday,LOW_PROXY,<1bps,94,9,0.09574468085106383,,
T-5m,weekday,LOW_PROXY,1-2bps,94,5,0.05319148936170213,,
T-5m,weekday,LOW_PROXY,2-5bps,94,21,0.22340425531914893,,
T-5m,weekday,LOW_PROXY,5-10bps,94,28,0.2978723404255319,,
T-5m,weekday,LOW_PROXY,>10bps,94,31,0.32978723404255317,,
T-5m,weekday,LOW_PROXY,P(<1bps),94,9,0.09574468085106383,,
T-5m,weekday,LOW_PROXY,P(<2bps),94,14,0.14893617021276595,,
T-5m,weekday,LOW_PROXY,P(<5bps),94,35,0.3723404255319149,,
T-5m,weekend,LOW_PROXY,<1bps,100,28,0.28,,
T-5m,weekend,LOW_PROXY,1-2bps,100,13,0.13,,
T-5m,weekend,LOW_PROXY,2-5bps,100,26,0.26,,
T-5m,weekend,LOW_PROXY,5-10bps,100,22,0.22,,
T-5m,weekend,LOW_PROXY,>10bps,100,11,0.11,,
T-5m,weekend,LOW_PROXY,P(<1bps),100,28,0.28,,
T-5m,weekend,LOW_PROXY,P(<2bps),100,41,0.41,,
T-5m,weekend,LOW_PROXY,P(<5bps),100,67,0.67,,
T-5m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.1842553191489362,94,100
T-5m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.07680851063829788,94,100
T-5m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,0.03659574468085108,94,100
T-5m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.0778723404255319,94,100
T-5m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.21978723404255318,94,100
T-3m,weekday,ALL,<1bps,100,3,0.03,,
