slug,gamma_metadata_status,gamma_winner_status,public_trade_fetch_status,public_price_history_status,public_trade_rows,gamma_official_strike_available,local_chainlink_strike_available,reconstructed_strike_available,selected_strike_source,selected_strike_confidence,btc_candles_market_window,lifecycle_points_available,excluded_from_distance_analysis,exclusion_reason
btc-updown-15m-1788181200,success,resolved,success,success,663,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788202800,success,resolved,success,success,907,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788224400,success,resolved,success,success,712,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788289200,success,resolved,success,success,1124,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788310800,success,resolved,success,success,1130,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788332400,success,resolved,success,success,714,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788354000,success,resolved,success,success,581,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788397200,success,resolved,success,success,786,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788418800,success,resolved,success,success,768,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788462000,success,resolved,empty,success,0,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788526800,success,resolved,success,success,1185,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788548400,success,resolved,success,success,676,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788570000,success,resolved,success,success,770,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788586200,success,resolved,success,success,1546,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788597000,success,resolved,success,success,730,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1788607800,success,resolved,success,success,1282,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
