slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,side,observation_sec,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,random_side,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,polymarket_leader,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,btc_trend_180s,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,btc_ema_1m_3m,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,btc_continuation_120s,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,always_up,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,always_down,DOWN,180,0.25,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,random_side,DOWN,180,0.25,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,polymarket_leader,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,btc_trend_180s,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,btc_ema_1m_3m,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,btc_continuation_60s,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789088400,2026-09-10,2026-09-07,weekday,18-24,UP,btc_continuation_120s,UP,180,0.7299999903446306,proxy_trade_print,10.0,3.698630318171693,0.1,3.598630318171693
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,always_up,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,always_down,DOWN,180,0.40493520192860155,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,random_side,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,polymarket_leader,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,btc_trend_180s,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,btc_ema_1m_3m,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,btc_continuation_60s,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789153200,2026-09-11,2026-09-07,weekday,12-18,UP,btc_continuation_120s,UP,180,0.6140899406266868,proxy_trade_print,10.0,6.284259582228085,0.1,6.184259582228085
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,always_up,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,polymarket_leader,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,btc_trend_180s,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,btc_ema_1m_3m,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,btc_continuation_60s,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789212600,2026-09-12,2026-09-07,weekend,06-12,UP,btc_continuation_120s,UP,180,0.619999939,proxy_trade_print,10.0,6.12903384495333,0.1,6.0290338449533305
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,always_up,UP,180,0.35999999988893144,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,always_down,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,random_side,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,polymarket_leader,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_trend_180s,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_ema_1m_3m,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_continuation_60s,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789234200,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_continuation_120s,DOWN,180,0.6498944300055681,proxy_trade_print,10.0,5.387114488601361,0.1,5.287114488601361
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,always_up,UP,180,0.5125128651473391,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,always_down,DOWN,180,0.4710365984136953,proxy_trade_print,10.0,11.229772874712683,0.1,11.129772874712684
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,random_side,DOWN,180,0.4710365984136953,proxy_trade_print,10.0,11.229772874712683,0.1,11.129772874712684
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,polymarket_leader,UP,180,0.5125128651473391,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_trend_180s,UP,180,0.5125128651473391,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789245000,2026-09-12,2026-09-07,weekend,12-18,DOWN,btc_ema_1m_3m,UP,180,0.5125128651473391,proxy_trade_print,10.0,-10.0,0.1,-10.1
