slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-15m_to_T-10m,247,3528.638033,1577.43208097646,6.0,15.0,89
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-10m_to_T-5m,320,5075.569447,2590.432758000003,6.0,8.0,125
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-5m_to_T-2m,342,5183.635484,2637.2362129938924,6.732272,11.0,114
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-2m_to_T-1m,188,2846.039971,2075.632104000178,8.0,3.0,43
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-60s_to_T-30s,49,993.376158,780.7881949997981,10.0,5.0,4
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785670200,weekend,2026-07-27,06-12,T-15s_to_settlement,3,136.22,101.92980000000001,33.6,11.0,2
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-15m_to_T-10m,258,4494.7882,2195.382671967661,7.470000000000001,13.0,74
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-10m_to_T-5m,241,4286.620213,2193.385846023228,7.0,9.0,94
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-5m_to_T-2m,170,2567.976031,1295.0583039963458,5.851763,6.0,58
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-2m_to_T-1m,60,1617.793209,805.7796689926282,7.7021415,3.0,27
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-60s_to_T-30s,26,229.216714,115.72918199978388,4.309166,5.0,16
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-30s_to_T-15s,87,2799.542644,2087.1828960331723,10.0,3.0,12
btc-updown-15m-1785691800,weekend,2026-07-27,12-18,T-15s_to_settlement,6,65.81,65.1519,8.47,6.0,0
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-15m_to_T-10m,222,4720.519069,2506.060456006187,8.333332,24.0,70
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-10m_to_T-5m,210,4821.9560519999995,2562.1161510156035,10.557691,12.0,68
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-5m_to_T-2m,147,2450.26478,1378.6217920024117,6.0,6.0,30
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-2m_to_T-1m,56,703.121121,366.99312999882846,5.0765,6.0,14
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-60s_to_T-30s,28,949.943015,924.9914760012938,10.0,16.0,4
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-30s_to_T-15s,2,53.0,52.47,26.5,9.0,0
btc-updown-15m-1785702600,weekend,2026-07-27,12-18,T-15s_to_settlement,0,0,0,,15,0
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-15m_to_T-10m,293,7597.713392,3803.692675000157,6.0,13.0,87
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-10m_to_T-5m,307,7948.705724,4002.9793119496194,8.0,9.0,113
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-5m_to_T-2m,225,4209.459279,1856.8539269490223,6.37,7.0,78
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-2m_to_T-1m,54,634.06872,403.34033600080716,5.218233,6.0,20
btc-updown-15m-1785713400,weekend,2026-07-27,18-24,T-60s_to_T-30s,21,294.204853,78.44156299772533,2.022463,6.0,7
